"video_src","start_time","duration","type","seamless_start_time","seamless_duration","match_id","subtitle","subtitleskill","home_team","visiting_team","video_time","code","set_number","home_team_score","visiting_team_score","file"
"SxETTklb81Y",382,8,"youtube",382,8,"2d5b1a2c1f508fd8caa7997881fa920a|349310c3658a36346311a2f93a7821c9","Set 1 - PoliVenaria 5 - 12 BCV Caluso","Aurora Deluca - High Ball Pos 2 : =","PoliVenaria","BCV Caluso",387,"a17AH=V6~24DH~S",1,6,12,NA
"SxETTklb81Y",631,8,"youtube",631,8,"2d5b1a2c1f508fd8caa7997881fa920a|349310c3658a36346311a2f93a7821c9","Set 1 - PoliVenaria 8 - 20 BCV Caluso","Sharon Beretta - High Ball Pos 2 : #","PoliVenaria","BCV Caluso",636,"a15AH#V6~26DP",1,8,21,NA
"SxETTklb81Y",1167,8,"youtube",1167,8,"2d5b1a2c1f508fd8caa7997881fa920a|349310c3658a36346311a2f93a7821c9","Set 2 - PoliVenaria 0 - 6 BCV Caluso","Adele Cireddu - High Ball Pos 3 : #","PoliVenaria","BCV Caluso",1172,"a06AO#V3~38CP",2,0,7,NA
"SxETTklb81Y",1583,8,"youtube",1583,8,"2d5b1a2c1f508fd8caa7997881fa920a|349310c3658a36346311a2f93a7821c9","Set 2 - PoliVenaria 12 - 14 BCV Caluso","Arianna Gillone - Pipe : +","PoliVenaria","BCV Caluso",1588,"a12AM+XP~82CP",2,13,14,NA
"SxETTklb81Y",2220,8,"youtube",2220,8,"2d5b1a2c1f508fd8caa7997881fa920a|349310c3658a36346311a2f93a7821c9","Set 3 - PoliVenaria 0 - 3 BCV Caluso","Matilde Fragonas - unknown attack code : #","PoliVenaria","BCV Caluso",2225,"a03AO#PP~33DH",3,0,4,NA
"SxETTklb81Y",2359,8,"youtube",2359,8,"2d5b1a2c1f508fd8caa7997881fa920a|349310c3658a36346311a2f93a7821c9","Set 3 - PoliVenaria 1 - 9 BCV Caluso","Valeria Gerace - High Ball Pos 3 : =","PoliVenaria","BCV Caluso",2364,"a11AO=V3~36DH~O",3,2,9,NA
"SxETTklb81Y",2472,8,"youtube",2472,8,"2d5b1a2c1f508fd8caa7997881fa920a|349310c3658a36346311a2f93a7821c9","Set 3 - PoliVenaria 3 - 12 BCV Caluso","Isabella Boni - High Ball Pos 3 : #","PoliVenaria","BCV Caluso",2477,"a04AO#V3~31CH",3,3,13,NA
"SxETTklb81Y",2581,8,"youtube",2581,8,"2d5b1a2c1f508fd8caa7997881fa920a|349310c3658a36346311a2f93a7821c9","Set 3 - PoliVenaria 3 - 13 BCV Caluso","Valeria Gerace - High Ball Pos 3 : =","PoliVenaria","BCV Caluso",2586,"a11AO=V3~34BH~N",3,4,13,NA
"SxETTklb81Y",2626,8,"youtube",2626,7.5,"2d5b1a2c1f508fd8caa7997881fa920a|349310c3658a36346311a2f93a7821c9","Set 3 - PoliVenaria 4 - 14 BCV Caluso","Sharon Beretta - High Ball Pos 3 : +","PoliVenaria","BCV Caluso",2631,"a15AO+V3~33AH",3,4,15,NA
"SxETTklb81Y",2633,8,"youtube",2633.5,7.5,"2d5b1a2c1f508fd8caa7997881fa920a|349310c3658a36346311a2f93a7821c9","Set 3 - PoliVenaria 4 - 14 BCV Caluso","Isabella Boni - unknown attack code : #","PoliVenaria","BCV Caluso",2638,"a04AO#PP~24AH",3,4,15,NA
"SxETTklb81Y",2847,8,"youtube",2847,8,"2d5b1a2c1f508fd8caa7997881fa920a|349310c3658a36346311a2f93a7821c9","Set 3 - PoliVenaria 8 - 18 BCV Caluso","Adele Cireddu - High Ball Pos 3 : #","PoliVenaria","BCV Caluso",2852,"a06AO#V3~32CH",3,8,19,NA
"SxETTklb81Y",2869,8,"youtube",2869,8,"2d5b1a2c1f508fd8caa7997881fa920a|349310c3658a36346311a2f93a7821c9","Set 3 - PoliVenaria 8 - 19 BCV Caluso","Sharon Beretta - unknown attack code : +","PoliVenaria","BCV Caluso",2874,"a15AO+P2~25CH",3,9,19,NA
