"video_src","start_time","duration","type","seamless_start_time","seamless_duration","match_id","subtitle","subtitleskill","home_team","visiting_team","video_time","code","set_number","home_team_score","visiting_team_score","file"
"SxETTklb81Y",401,8,"youtube",401,8,"2d5b1a2c1f508fd8caa7997881fa920a|349310c3658a36346311a2f93a7821c9","Set 1 - PoliVenaria 6 - 12 BCV Caluso","Sharon Beretta - Pipe : #","PoliVenaria","BCV Caluso",406,"a15AM#XP~86CP",1,6,13,NA
"SxETTklb81Y",1044,8,"youtube",1044,8,"2d5b1a2c1f508fd8caa7997881fa920a|349310c3658a36346311a2f93a7821c9","Set 2 - PoliVenaria 0 - 0 BCV Caluso","Isabella Boni - High Ball Pos 3 : #","PoliVenaria","BCV Caluso",1049,"a04AO#V3~37AH",2,0,1,NA
"SxETTklb81Y",1231,8,"youtube",1231,8,"2d5b1a2c1f508fd8caa7997881fa920a|349310c3658a36346311a2f93a7821c9","Set 2 - PoliVenaria 1 - 8 BCV Caluso","Adele Cireddu - High Ball Pos 3 : +","PoliVenaria","BCV Caluso",1236,"a06AO+V3~37AH",2,2,8,NA
"SxETTklb81Y",2676,8,"youtube",2676,8,"2d5b1a2c1f508fd8caa7997881fa920a|349310c3658a36346311a2f93a7821c9","Set 3 - PoliVenaria 5 - 15 BCV Caluso","Isabella Boni - Pipe : #","PoliVenaria","BCV Caluso",2681,"a04AM#XP~82DH",3,5,16,NA
"SxETTklb81Y",2764,8,"youtube",2764,8,"2d5b1a2c1f508fd8caa7997881fa920a|349310c3658a36346311a2f93a7821c9","Set 3 - PoliVenaria 7 - 16 BCV Caluso","Matilde Fragonas - Pipe : -","PoliVenaria","BCV Caluso",2769,"a03AM-XP~83DH",3,8,16,NA
"SxETTklb81Y",2915,8,"youtube",2915,8,"2d5b1a2c1f508fd8caa7997881fa920a|349310c3658a36346311a2f93a7821c9","Set 3 - PoliVenaria 10 - 19 BCV Caluso","Adele Cireddu - High Ball Pos 4 : =","PoliVenaria","BCV Caluso",2920,"a06AH=V5~42CH~N",3,11,19,NA
