"video_src","start_time","duration","type","seamless_start_time","seamless_duration","match_id","subtitle","subtitleskill","home_team","visiting_team","video_time","code","set_number","home_team_score","visiting_team_score","file"
"SxETTklb81Y",564,8,"youtube",564,8,"2d5b1a2c1f508fd8caa7997881fa920a|349310c3658a36346311a2f93a7821c9","Set 1 - PoliVenaria 7 - 18 BCV Caluso","Arianna Gillone - Float serve reception : =","PoliVenaria","BCV Caluso",569,"a12RH=~~~69C",1,8,18,NA
"SxETTklb81Y",1253,8,"youtube",1253,8,"2d5b1a2c1f508fd8caa7997881fa920a|349310c3658a36346311a2f93a7821c9","Set 2 - PoliVenaria 2 - 8 BCV Caluso","Adele Cireddu - Float serve reception : =","PoliVenaria","BCV Caluso",1258,"a06RH=~~~67B",2,3,8,NA
"SxETTklb81Y",1270,8,"youtube",1270,8,"2d5b1a2c1f508fd8caa7997881fa920a|349310c3658a36346311a2f93a7821c9","Set 2 - PoliVenaria 3 - 8 BCV Caluso","Arianna Gillone - Float serve reception : =","PoliVenaria","BCV Caluso",1275,"a12RH=~~~62A",2,4,8,NA
"SxETTklb81Y",1356,8,"youtube",1356,8,"2d5b1a2c1f508fd8caa7997881fa920a|349310c3658a36346311a2f93a7821c9","Set 2 - PoliVenaria 6 - 9 BCV Caluso","Greta LaMonaca - Float serve reception : =","PoliVenaria","BCV Caluso",1361,"a16RH=~~~66C",2,7,9,NA
"SxETTklb81Y",1470,8,"youtube",1470,8,"2d5b1a2c1f508fd8caa7997881fa920a|349310c3658a36346311a2f93a7821c9","Set 2 - PoliVenaria 9 - 12 BCV Caluso","Arianna Gillone - Float serve reception : =","PoliVenaria","BCV Caluso",1475,"a12RH=~~~68D",2,10,12,NA
"SxETTklb81Y",1607,8,"youtube",1607,8,"2d5b1a2c1f508fd8caa7997881fa920a|349310c3658a36346311a2f93a7821c9","Set 2 - PoliVenaria 13 - 14 BCV Caluso","Greta LaMonaca - Float serve reception : =","PoliVenaria","BCV Caluso",1612,"a16RH=~~~69A",2,14,14,NA
"SxETTklb81Y",2718,8,"youtube",2718,8,"2d5b1a2c1f508fd8caa7997881fa920a|349310c3658a36346311a2f93a7821c9","Set 3 - PoliVenaria 6 - 16 BCV Caluso","Sharon Beretta - Float serve reception : =","PoliVenaria","BCV Caluso",2723,"a15RH=~~~93A",3,7,16,NA
"SxETTklb81Y",2894,8,"youtube",2894,8,"2d5b1a2c1f508fd8caa7997881fa920a|349310c3658a36346311a2f93a7821c9","Set 3 - PoliVenaria 9 - 19 BCV Caluso","Adele Cireddu - Float serve reception : =","PoliVenaria","BCV Caluso",2899,"a06RH=~~~65B",3,10,19,NA
